Call Sign (String),Time Zone ID (String),Date (String),Temperature Sampled Low (°F),Temperature Sampled High (°F),Dew Point Sampled Low (°F),Dew Point Sampled High (°F),Wind Speed Min (mph),Wind Speed Max (mph),Gust Speed Max (mph),Wind Direction Dominant (degrees),Visibility Min (mi),Visibility Max (mi),Precipitation (in),Snow Depth Max (in),Pressure Altimeter Min (in Hg),Pressure Altimeter Max (in Hg),Min Cloud Layer Code (String),Min Cloud Layer Label (String),Max Cloud Layer Code (String),Max Cloud Layer Label (String),Weather Code 1 (String),Weather Label 1 (String),Weather Code 2 (String),Weather Label 2 (String),Weather Code 3 (String),Weather Label 3 (String),Weather Code 4 (String),Weather Label 4 (String),Weather Code 5 (String),Weather Label 5 (String),Weather Code 6 (String),Weather Label 6 (String),Weather Code 7 (String),Weather Label 7 (String),Weather Code 8 (String),Weather Label 8 (String),Weather Code 9 (String),Weather Label 9 (String),Weather Code 10 (String),Weather Label 10 (String),Weather Code 11 (String),Weather Label 11 (String),Weather Code 12 (String),Weather Label 12 (String)
MMPB,America/Mexico_City,2020-01-11,41.00,77.00,26.60,37.40,2.30,11.51,,S,9.00,11.00,,,30.22,30.38,SKC,clear,SCT,partly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,2020-01-12,37.40,73.40,31.28,44.60,2.24,13.87,,SE,6.21,12.43,,,30.27,30.42,NCD,no cloud detected,BKN,mostly cloudy,IWC05,haze,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,2020-01-13,44.60,75.20,37.40,44.60,3.45,13.81,,S,9.00,12.00,,,30.31,30.44,SKC,clear,SCT,partly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,2020-01-14,41.00,73.40,26.60,46.40,2.24,13.87,,SE,3.11,12.00,,,30.29,30.43,NCD,no cloud detected,SCT,partly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,2020-01-15,41.00,73.40,35.60,46.40,4.60,18.41,,S,9.00,12.43,,,30.26,30.40,NCD,no cloud detected,ICC05,five oktas - 6/10,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,2020-01-16,39.20,73.40,33.80,42.80,0.00,16.11,,SE,9.00,11.00,,,30.27,30.43,NCD,no cloud detected,SCT,partly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,2020-01-17,41.00,69.80,34.88,44.60,0.00,12.75,18.41,S,3.11,13.00,,,30.29,30.43,NCD,no cloud detected,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,2020-01-18,44.60,73.40,39.20,50.18,2.24,16.11,18.41,E,3.11,12.43,,,30.27,30.40,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,2020-01-19,46.40,69.80,42.80,51.80,2.24,10.36,19.69,N,3.11,12.43,,,30.36,30.44,FEW,mostly clear,OVC,overcast,RA,rain,IWC63,rain,-RA,light rain,IWC61,light rain,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,2020-01-20,46.40,62.60,39.20,48.20,2.24,17.26,,N,3.11,12.00,,,30.43,30.52,FEW,mostly clear,OVC,overcast,-RA,light rain,IWC61,light rain,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,2020-01-21,37.40,66.20,32.54,42.80,2.24,12.75,,S,9.00,12.43,,,30.33,30.52,NCD,no cloud detected,SCT,partly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,2020-01-22,35.60,68.00,27.86,42.80,2.24,17.26,,S,3.11,9.32,,,30.20,30.36,NCD,no cloud detected,SCT,partly cloudy,IWC05,haze,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,2020-01-23,42.80,66.20,36.68,44.60,0.00,16.11,,S,3.11,11.00,,,30.18,30.30,NCD,no cloud detected,OVC,overcast,IWC05,haze,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,2020-01-24,50.00,68.00,34.52,46.40,0.00,17.26,,S,3.11,12.43,,,30.21,30.36,FEW,mostly clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,2020-01-25,46.40,68.72,31.46,46.58,0.00,21.92,26.47,S,3.11,12.43,,,30.25,30.39,FEW,mostly clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,2020-01-26,41.00,69.80,35.60,55.40,2.24,24.17,,S,3.11,12.43,,,30.24,30.39,NCD,no cloud detected,BKN,mostly cloudy,IWC05,haze,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,2020-01-27,46.40,73.04,30.20,42.80,0.00,28.86,,S,9.00,12.43,,,30.18,30.36,NCD,no cloud detected,SCT,partly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,2020-01-28,37.40,73.04,17.60,33.80,2.24,24.17,29.97,S,9.00,12.43,,,30.13,30.29,NCD,no cloud detected,SCT,partly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,2020-01-29,39.20,69.80,21.20,32.00,2.24,26.47,33.37,S,9.00,12.00,,,30.15,30.32,NCD,no cloud detected,FEW,mostly clear,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,2020-01-30,44.60,68.72,24.80,42.80,0.00,28.86,38.03,S,9.00,12.43,,,30.13,30.29,NCD,no cloud detected,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,2020-01-31,42.80,69.80,27.14,37.40,0.00,23.04,33.37,S,3.11,12.00,,,30.16,30.32,NCD,no cloud detected,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,2020-02-01,42.80,69.80,37.40,43.70,0.00,16.11,,S,3.11,11.00,,,30.32,30.45,SCT,partly cloudy,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,2020-02-02,41.00,71.60,33.44,42.80,0.00,10.36,,S,8.00,12.43,,,30.26,30.46,FEW,mostly clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,2020-02-03,42.80,71.60,37.40,46.40,0.00,24.17,36.91,S,3.11,12.43,,,30.25,30.36,NCD,no cloud detected,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,2020-02-04,48.20,68.00,42.80,48.20,2.30,23.02,32.22,S,7.00,12.00,,,30.22,30.37,FEW,mostly clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,2020-02-05,51.80,62.60,39.20,51.80,6.90,27.74,38.03,S,8.00,11.00,,,30.14,30.30,FEW,mostly clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,2020-02-06,51.80,68.00,32.00,48.74,4.47,18.41,26.47,S,3.11,13.00,,,30.11,30.24,ICC01,one okta - 1/10 or less but not zero,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,2020-02-07,39.20,73.40,28.40,37.40,0.00,17.26,,S,8.00,13.00,,,30.17,30.30,SCT,partly cloudy,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,2020-02-08,37.40,75.20,26.60,39.20,2.24,17.26,,S,8.00,12.43,,,30.27,30.40,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,2020-02-09,37.40,75.20,28.40,39.20,2.24,18.41,19.69,S,6.21,11.00,,,30.26,30.41,NCD,no cloud detected,FEW,mostly clear,IWC05,haze,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,2020-02-10,44.60,77.00,35.60,41.00,2.24,16.11,23.04,S,9.00,12.00,,,30.22,30.36,NCD,no cloud detected,SCT,partly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,2020-02-11,46.40,77.00,35.60,42.80,3.36,17.26,,S,8.00,11.00,,,30.18,30.33,NCD,no cloud detected,FEW,mostly clear,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,2020-02-12,51.80,71.60,31.10,52.34,0.00,23.04,29.97,S,3.11,12.43,,,30.15,30.29,NCD,no cloud detected,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,2020-02-13,44.60,71.60,35.60,48.20,0.00,14.99,26.47,S,3.11,11.00,,,30.19,30.32,NCD,no cloud detected,SCT,partly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,2020-02-14,48.20,73.40,41.00,46.40,0.00,16.11,,S,8.00,11.00,,,30.27,30.41,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,2020-02-15,44.60,75.20,35.78,44.60,0.00,12.75,13.87,S,8.00,12.43,,,30.28,30.44,NCD,no cloud detected,ICC03,three oktas - 4/10,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,2020-02-16,41.00,80.60,30.20,39.20,0.00,17.26,,S,10.00,11.00,,,30.19,30.35,NCD,no cloud detected,SCT,partly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,2020-02-17,41.00,84.92,3.20,32.00,0.00,18.41,,S,9.00,12.43,,,30.14,30.29,NCD,no cloud detected,SKC,clear,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,2020-02-18,44.60,86.00,14.00,37.40,2.24,17.26,,S,3.11,12.43,,,30.17,30.30,NCD,no cloud detected,FEW,mostly clear,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,2020-02-19,46.40,80.60,14.00,37.40,0.00,11.51,,S,3.11,9.00,,,30.25,30.40,NCD,no cloud detected,SKC,clear,IWC05,haze,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,2020-02-20,41.00,80.60,33.80,44.60,2.24,17.26,,N,2.50,8.00,,,30.25,30.41,NCD,no cloud detected,FEW,mostly clear,HZ,haze,IWC05,haze,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,2020-02-21,51.80,75.20,35.60,42.80,3.36,18.41,,S,7.00,12.00,,,30.36,30.53,NCD,no cloud detected,FEW,mostly clear,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,2020-02-22,41.00,77.00,36.86,41.00,0.00,12.75,,S,6.21,12.43,,,30.33,30.51,NCD,no cloud detected,FEW,mostly clear,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,2020-02-23,44.60,81.68,30.20,42.80,2.24,13.87,,S,3.11,9.00,,,30.26,30.43,NCD,no cloud detected,SKC,clear,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,2020-02-24,48.20,78.80,33.80,41.00,2.24,26.47,34.52,S,3.11,10.00,,,30.14,30.32,NCD,no cloud detected,FEW,mostly clear,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,2020-02-25,44.60,75.20,32.00,50.00,2.24,31.09,33.37,S,3.11,10.00,,,30.09,30.25,NCD,no cloud detected,SCT,partly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,2020-02-26,46.40,73.40,33.80,44.60,2.24,18.41,26.47,SE,5.00,12.43,,,30.20,30.36,NCD,no cloud detected,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,2020-02-27,42.80,74.12,37.40,42.80,2.24,17.26,24.17,S,7.00,12.43,,,30.28,30.42,NCD,no cloud detected,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,2020-02-28,48.20,75.20,31.46,41.18,2.24,17.26,,S,3.11,12.43,,,30.33,30.45,NCD,no cloud detected,FEW,mostly clear,IWC05,haze,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,2020-02-29,42.80,80.96,30.20,36.50,0.00,18.41,,S,3.11,10.00,,,30.29,30.46,NCD,no cloud detected,FEW,mostly clear,IWC05,haze,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,2020-03-01,44.60,78.80,33.80,41.00,0.00,21.92,,S,3.11,10.00,,,30.24,30.41,NCD,no cloud detected,ICC03,three oktas - 4/10,IWC05,haze,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,2020-03-02,51.80,80.60,33.80,46.40,0.00,21.92,28.86,S,7.00,11.00,,,30.19,30.37,NCD,no cloud detected,SCT,partly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,2020-03-03,50.00,78.80,35.60,47.30,0.00,26.47,33.37,S,3.11,12.43,,,30.15,30.30,NCD,no cloud detected,FEW,mostly clear,IWC05,haze,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,2020-03-04,44.60,77.00,28.40,44.60,0.00,14.99,,S,3.11,11.00,,,30.20,30.33,NCD,no cloud detected,BKN,mostly cloudy,IWC05,haze,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,2020-03-05,46.40,78.80,30.02,44.60,0.00,16.11,24.17,SE,3.11,10.00,,,30.26,30.40,NCD,no cloud detected,OVC,overcast,IWC05,haze,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,2020-03-06,42.80,73.40,37.40,42.62,2.24,17.26,,S,3.11,11.00,,,30.32,30.50,NCD,no cloud detected,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,2020-03-07,39.20,73.40,35.60,41.00,2.24,13.87,,S,3.11,9.00,,,30.27,30.48,NCD,no cloud detected,BKN,mostly cloudy,IWC05,haze,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,2020-03-08,39.20,77.00,32.00,40.64,0.00,13.87,,SE,8.00,12.43,,,30.27,30.43,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,2020-03-09,44.60,78.80,24.80,42.80,2.24,16.11,,S,8.00,12.00,,,30.30,30.45,SCT,partly cloudy,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,2020-03-10,50.00,78.80,30.56,44.60,2.24,12.75,,S,6.21,12.00,,,30.31,30.48,NCD,no cloud detected,OVC,overcast,IWC05,haze,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,2020-03-11,53.60,78.80,28.40,44.60,0.00,11.51,14.99,S,3.11,10.00,,,30.23,30.43,SCT,partly cloudy,BKN,mostly cloudy,IWC05,haze,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,2020-03-12,46.40,82.40,31.82,39.20,0.00,19.69,13.87,S,3.11,11.00,,,30.16,30.32,NCD,no cloud detected,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,2020-03-13,51.80,87.08,30.20,37.40,0.00,23.04,24.17,S,3.11,12.43,,,30.18,30.34,NCD,no cloud detected,SCT,partly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,2020-03-14,50.00,84.20,39.20,46.76,2.24,17.26,24.17,S,3.11,10.00,,,30.25,30.40,NCD,no cloud detected,SCT,partly cloudy,IWC05,haze,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,2020-03-15,48.20,82.40,28.40,41.72,0.00,16.11,,S,3.11,10.00,,,30.27,30.43,NCD,no cloud detected,BKN,mostly cloudy,IWC05,haze,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,2020-03-16,46.40,82.40,23.00,48.20,0.00,20.80,,NW,7.00,10.00,,,30.23,30.41,NCD,no cloud detected,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,2020-03-17,46.40,78.80,35.60,51.80,0.00,13.87,23.04,S,6.00,10.00,,,30.22,30.41,NCD,no cloud detected,BKN,mostly cloudy,-RA,light rain,IWC61,light rain,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,2020-03-18,48.20,82.40,37.40,46.40,0.00,14.99,,S,3.11,9.00,,,30.24,30.40,NCD,no cloud detected,BKN,mostly cloudy,IWC05,haze,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,2020-03-19,51.80,82.40,33.80,49.28,2.24,19.69,26.47,S,3.11,9.00,,,30.24,30.41,NCD,no cloud detected,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,2020-03-20,57.20,84.20,35.60,51.80,0.00,13.87,17.26,S,3.11,11.00,,,30.27,30.44,NCD,no cloud detected,BKN,mostly cloudy,IWC05,haze,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,2020-03-21,51.80,78.80,24.80,46.40,2.24,17.26,,SE,8.00,10.00,,,30.30,30.48,NCD,no cloud detected,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,2020-03-22,46.40,83.48,26.60,43.16,0.00,19.69,,S,3.11,11.00,,,30.26,30.42,NCD,no cloud detected,SKC,clear,IWC05,haze,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,2020-03-23,44.60,95.00,30.20,45.14,2.24,16.11,,S,3.11,10.00,,,30.30,30.45,NCD,no cloud detected,SKC,clear,IWC05,haze,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,2020-03-24,46.40,89.60,17.60,42.80,2.24,20.80,,S,3.11,9.00,,,30.23,30.41,NCD,no cloud detected,ICC03,three oktas - 4/10,IWC05,haze,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,2020-03-25,46.40,88.52,19.40,37.76,0.00,11.51,18.41,S,3.11,11.00,,,30.21,30.36,NCD,no cloud detected,ICC03,three oktas - 4/10,IWC05,haze,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,2020-03-26,44.60,90.68,6.80,25.34,2.24,17.26,,S,3.11,12.43,,,30.18,30.36,NCD,no cloud detected,SKC,clear,IWC05,haze,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,2020-03-27,44.60,84.20,15.80,45.14,2.24,17.26,26.47,S,3.11,12.00,,,30.13,30.30,NCD,no cloud detected,SKC,clear,IWC05,haze,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,2020-03-28,46.40,87.08,17.60,48.20,0.00,17.26,,S,3.11,10.00,,,30.13,30.30,NCD,no cloud detected,FEW,mostly clear,IWC05,haze,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,2020-03-29,51.80,85.28,28.40,44.60,2.24,18.41,25.32,S,3.11,9.00,,,30.19,30.33,NCD,no cloud detected,ICC01,one okta - 1/10 or less but not zero,IWC05,haze,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,2020-03-30,48.20,84.92,19.40,48.20,0.00,19.69,,S,2.50,8.00,,,30.17,30.37,NCD,no cloud detected,SKC,clear,HZ,haze,IWC05,haze,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,2020-03-31,50.00,85.64,24.80,44.96,0.00,16.11,18.41,S,3.11,10.00,,,30.16,30.32,NCD,no cloud detected,BKN,mostly cloudy,IWC05,haze,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,2020-04-01,48.20,81.68,34.88,45.86,0.00,16.11,16.11,S,3.11,8.00,,,30.15,30.33,NCD,no cloud detected,ICC06,six oktas - 7/10 - 8/10,IWC05,haze,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,2020-04-02,53.60,83.12,40.64,48.20,0.00,23.04,25.32,S,3.11,8.00,,,30.15,30.32,NCD,no cloud detected,OVC,overcast,IWC50,light intermittent drizzle,IWC05,haze,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,2020-04-03,51.80,82.40,39.20,51.08,0.00,17.26,21.92,S,3.11,9.00,,,30.12,30.29,NCD,no cloud detected,OVC,overcast,IWC50,light intermittent drizzle,IWC05,haze,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,2020-04-04,51.80,83.12,38.84,50.00,0.00,13.87,,S,3.11,12.43,,,30.14,30.30,FEW,mostly clear,OVC,overcast,IWC50,light intermittent drizzle,IWC05,haze,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,2020-04-05,48.20,82.76,39.20,48.20,2.24,17.26,23.04,S,3.11,10.00,,,30.16,30.30,NCD,no cloud detected,BKN,mostly cloudy,IWC05,haze,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,2020-04-06,50.00,84.20,36.32,51.26,0.00,16.11,27.62,S,3.11,10.00,,,30.22,30.37,NCD,no cloud detected,ICC06,six oktas - 7/10 - 8/10,IWC05,haze,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,2020-04-07,57.20,84.56,32.00,54.32,2.24,12.75,,S,3.11,10.00,,,30.27,30.45,FEW,mostly clear,BKN,mostly cloudy,IWC05,haze,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,2020-04-08,50.00,84.20,32.00,48.02,2.24,14.99,23.04,S,3.11,9.00,,,30.23,30.40,NCD,no cloud detected,SCT,partly cloudy,IWC05,haze,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,2020-04-09,51.80,82.40,37.40,44.60,0.00,13.87,21.92,S,8.00,10.00,,,30.22,30.39,NCD,no cloud detected,SCT,partly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,2020-04-10,53.60,84.20,32.00,42.80,0.00,18.41,13.87,S,3.11,10.00,,,30.19,30.36,NCD,no cloud detected,SCT,partly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,2020-04-11,51.80,84.92,30.20,46.58,0.00,25.32,32.22,S,3.11,10.00,,,30.17,30.34,NCD,no cloud detected,SCT,partly cloudy,IWC05,haze,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,2020-04-12,51.80,80.60,24.80,43.70,2.24,33.37,33.37,S,3.11,9.00,,,30.21,30.33,ICC01,one okta - 1/10 or less but not zero,OVC,overcast,IWC05,haze,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,2020-04-13,48.20,82.40,30.20,41.00,0.00,20.80,26.47,S,7.00,9.00,,,30.22,30.39,NCD,no cloud detected,SKC,clear,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,2020-04-14,50.00,82.40,28.40,48.20,0.00,24.17,31.07,S,6.00,10.00,,,30.21,30.39,SKC,clear,SCT,partly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,2020-04-15,53.60,82.40,37.40,48.20,0.00,16.11,20.80,S,6.00,8.00,,,30.22,30.37,FEW,mostly clear,SCT,partly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,2020-04-16,55.40,82.40,42.80,53.60,0.00,14.99,,S,3.11,10.00,,,30.24,30.39,NCD,no cloud detected,ICC05,five oktas - 6/10,IWC05,haze,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,2020-04-17,51.80,80.60,41.00,51.80,0.00,14.99,25.32,S,6.00,8.00,,,30.27,30.42,NCD,no cloud detected,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,2020-04-18,51.80,84.20,30.20,50.00,0.00,13.87,24.17,S,6.00,9.00,,,30.20,30.40,NCD,no cloud detected,SCT,partly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,2020-04-19,53.60,82.40,44.60,51.80,0.00,19.69,,S,6.00,7.00,,,30.17,30.36,NCD,no cloud detected,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
