Call Sign (String),Time Zone ID (String),Date (String),Temperature Sampled Low (°F),Temperature Sampled High (°F),Dew Point Sampled Low (°F),Dew Point Sampled High (°F),Wind Speed Min (mph),Wind Speed Max (mph),Gust Speed Max (mph),Wind Direction Dominant (degrees),Visibility Min (mi),Visibility Max (mi),Precipitation (in),Snow Depth Max (in),Pressure Altimeter Min (in Hg),Pressure Altimeter Max (in Hg),Min Cloud Layer Code (String),Min Cloud Layer Label (String),Max Cloud Layer Code (String),Max Cloud Layer Label (String),Weather Code 1 (String),Weather Label 1 (String),Weather Code 2 (String),Weather Label 2 (String),Weather Code 3 (String),Weather Label 3 (String),Weather Code 4 (String),Weather Label 4 (String),Weather Code 5 (String),Weather Label 5 (String),Weather Code 6 (String),Weather Label 6 (String),Weather Code 7 (String),Weather Label 7 (String),Weather Code 8 (String),Weather Label 8 (String),Weather Code 9 (String),Weather Label 9 (String),Weather Code 10 (String),Weather Label 10 (String),Weather Code 11 (String),Weather Label 11 (String),Weather Code 12 (String),Weather Label 12 (String)
MMPB,America/Mexico_City,1990-01-01,7.16,19.22,3.20,7.16,0.00,13.87,,S,5.97,11.93,,,,,NCD,no cloud detected,VV,overcast,FUDZ,drizzle with smoke,IWC05,haze,IWC04,smoke,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1990-01-02,16.16,19.22,4.10,7.16,0.00,11.51,,S,14.91,15.00,,,30.28,30.40,NCD,no cloud detected,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1990-01-03,7.16,67.28,1.22,39.38,0.00,8.06,,NE,9.00,15.00,,,,,NCD,no cloud detected,CLR,clear,IWC04,smoke,FU,smoke,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1990-01-04,12.20,69.44,5.18,44.42,0.00,13.87,,SW,3.00,10.00,,,30.19,30.31,NCD,no cloud detected,SCT,partly cloudy,DZ,drizzle,IWC05,haze,IWC04,smoke,FU,smoke,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1990-01-05,9.14,41.00,1.22,34.70,0.00,13.87,,S,3.00,12.43,,,,,NCD,no cloud detected,CLR,clear,IWC04,smoke,FU,smoke,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1990-01-06,9.14,19.22,1.22,6.26,0.00,20.80,,S,9.00,15.00,,,30.20,30.25,NCD,no cloud detected,CLR,clear,DZ,drizzle,IWC05,haze,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1990-01-07,11.12,19.22,2.12,6.26,0.00,20.80,,S,14.91,15.00,,,30.15,30.17,NCD,no cloud detected,CLR,clear,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1990-01-08,10.22,62.96,1.22,55.40,0.00,18.41,,S,9.00,11.93,,,,,NCD,no cloud detected,FEW,mostly clear,IWC04,smoke,FU,smoke,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1990-01-09,17.24,66.20,4.10,41.54,0.00,9.21,,S,3.00,15.00,,,,,NCD,no cloud detected,BKN,mostly cloudy,DZ,drizzle,IWC05,haze,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1990-01-10,7.16,62.96,2.12,40.28,0.00,8.06,,SW,3.00,10.00,,,,,NCD,no cloud detected,BKN,mostly cloudy,IWC04,smoke,FU,smoke,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1990-01-11,7.16,63.68,1.22,47.12,0.00,11.51,,SW,6.21,11.93,,,,,FEW,mostly clear,BKN,mostly cloudy,DZ,drizzle,IWC05,haze,IWC04,smoke,FU,smoke,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1990-01-12,12.20,52.88,1.22,47.84,0.00,11.51,,NE,5.97,10.00,,,30.28,30.35,FEW,mostly clear,OVC,overcast,DZ,drizzle,-DZ,light drizzle,IWC51,light drizzle,IWC50,light intermittent drizzle,IWC05,haze,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1990-01-13,8.24,48.56,1.22,43.34,0.00,9.21,,N,3.00,10.00,,,30.28,30.36,FEW,mostly clear,OVC,overcast,DZ,drizzle,IWC05,haze,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1990-01-14,7.16,65.12,3.20,38.12,0.00,10.36,,NW,2.98,11.93,,,,,NCD,no cloud detected,VV,overcast,FGFUDZ,drizzle with fog and smoke,FUDZ,drizzle with smoke,IWC05,haze,IWC04,smoke,IWC45,sky-obscuring fog,FU,smoke,,,,,,,,,,,,
MMPB,America/Mexico_City,1990-01-15,13.10,20.12,3.20,5.18,0.00,11.51,,S,7.95,15.00,,,,,NCD,no cloud detected,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1990-01-16,15.26,68.00,2.12,47.12,0.00,9.21,,S,3.00,15.00,,,,,NCD,no cloud detected,SCT,partly cloudy,DZ,drizzle,IWC05,haze,IWC04,smoke,FU,smoke,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1990-01-17,7.16,69.44,3.20,42.80,0.00,6.93,,S,3.00,11.93,,,,,NCD,no cloud detected,SCT,partly cloudy,DZ,drizzle,IWC05,haze,IWC04,smoke,FU,smoke,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1990-01-18,6.26,71.24,3.20,37.04,0.00,8.06,,S,0.00,20.00,,,,,NCD,no cloud detected,SCT,partly cloudy,DZ,drizzle,IWC05,haze,IWC04,smoke,FU,smoke,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1990-01-19,15.80,67.64,8.24,42.80,0.00,13.87,,SW,3.00,10.00,,,30.10,30.24,NCD,no cloud detected,SCT,partly cloudy,DZ,drizzle,IWC05,haze,IWC04,smoke,FU,smoke,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1990-01-20,14.00,44.42,6.26,41.18,0.00,9.21,,NE,3.00,7.00,,,30.10,30.23,NCD,no cloud detected,SCT,partly cloudy,DZ,drizzle,IWC05,haze,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1990-01-21,12.20,63.32,2.12,45.86,0.00,11.51,,SE,3.98,10.00,,,,,NCD,no cloud detected,VV,overcast,FUDZ,drizzle with smoke,IWC05,haze,IWC04,smoke,FU,smoke,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1990-01-22,10.22,62.96,1.22,48.38,0.00,11.51,,S,6.21,15.00,,,,,NCD,no cloud detected,BKN,mostly cloudy,IWC04,smoke,FU,smoke,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1990-01-23,8.24,68.36,1.22,42.80,0.00,13.87,,S,3.00,15.00,,,,,NCD,no cloud detected,BKN,mostly cloudy,IWC04,smoke,FU,smoke,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1990-01-24,7.16,70.16,4.10,42.26,0.00,11.51,,SW,3.00,20.00,,,,,NCD,no cloud detected,SCT,partly cloudy,DZ,drizzle,IWC05,haze,IWC04,smoke,FU,smoke,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1990-01-25,10.22,57.20,4.10,41.36,0.00,13.87,,NE,3.00,11.93,,,,,CLR,clear,BKN,mostly cloudy,DZ,drizzle,IWC05,haze,IWC04,smoke,FU,smoke,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1990-01-26,11.12,38.84,1.22,35.24,0.00,11.51,,S,3.00,10.00,,,30.22,30.34,NCD,no cloud detected,BKN,mostly cloudy,DZ,drizzle,IWC05,haze,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1990-01-27,15.26,36.50,3.20,27.32,0.00,11.51,,SW,3.00,10.00,,,30.15,30.28,NCD,no cloud detected,CLR,clear,DZ,drizzle,IWC05,haze,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1990-01-28,17.24,68.00,6.26,39.92,0.00,11.51,,SW,3.00,10.00,,,30.13,30.25,FEW,mostly clear,BKN,mostly cloudy,DZ,drizzle,IWC05,haze,IWC04,smoke,FU,smoke,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1990-01-29,14.18,81.32,2.12,47.30,0.00,13.81,,S,3.00,11.93,,,,,NCD,no cloud detected,OVC,overcast,IWC04,smoke,FU,smoke,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1990-01-30,7.16,68.36,5.18,45.86,0.00,9.21,,S,3.00,10.00,,,,,FEW,mostly clear,OVC,overcast,DZ,drizzle,IWC05,haze,IWC04,smoke,FU,smoke,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1990-01-31,8.24,70.16,3.20,40.64,0.00,13.87,,S,3.00,11.93,,,,,NCD,no cloud detected,SCT,partly cloudy,IWC04,smoke,FU,smoke,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1990-02-01,9.14,66.92,0.14,47.66,0.00,16.11,,S,3.00,10.00,,,,,CLR,clear,OVC,overcast,DZ,drizzle,IWC05,haze,IWC04,smoke,FU,smoke,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1990-02-02,13.10,71.60,1.22,39.38,0.00,16.11,,S,3.00,7.00,,,30.14,30.27,NCD,no cloud detected,OVC,overcast,IWC04,smoke,FU,smoke,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1990-02-03,20.12,71.42,8.24,45.86,0.00,17.26,,SW,3.00,7.00,,,30.17,30.29,NCD,no cloud detected,BKN,mostly cloudy,DZ,drizzle,IWC05,haze,,,,,,,,,,,,,,,,,,,,
